Location,Tags,Wikipedia,City,Hot Score,Comment,Rating,Link,Activity
Dargah Baba Shah Muzafir,Other Places of Worship,Dargah Baba Shah Musafir is a 17th century memorial built by Emperor Aurangzeb in the honour of Baba Shah Musafir who was the spiritual teacher of the emperor The memorial complex houses a tombstone of Baba Shah Musafir a mosque a beautiful garden and a mesmerising fountain The ambience created in the beautiful complex is extremely tranquil and inviting,Aurangabad,1.0,,,https://us.trip.com/travel-guide/attraction/aurangabad/dargah-baba-shah-muzafir-62010949/,['']
Shri Durga Parameshwari Temple,Temples,Kanaka Durga Temple is a Hindu Temple dedicated to Goddess Kanaka Durga The deity in this temple is also popularly referred as Kanaka Durga The temple is located in Vijayawada Andhra Pradesh India on the Indrakeeladri Hills on the banks of Krishna River Kaalika Purana Durgaa Sapthashati and other Vedic literature have mentioned about Goddess Kanaka Durga on the Indrakeelaadri and have described the deity as Swayambhu selfmanifested in Triteeya Kalpacitation needed,Pune,1.0,,,https://us.trip.com/travel-guide/attraction/pune/shri-durga-parameshwari-temple-62034001/,['']
Poet Kalidas Memorial,Monuments,The memorial is a tribute to the great poet Kalidasa and the place is a huge lawn with aesthetically designed outdoor architecture with a large fountain at the centrestage The place is still under construction with some more features to be implemented and when it gets functional it will be a great evening attraction for the visitors The memorial has a small auditorium which is an art galleria and has got a decent collection of paintings from the medieval period As of now one can just enjoy sitting along the walking spaces after a visit at the Ramtek temple I await eagerly to see more of things coming from here,Nagpur,1.0,,,https://us.trip.com/travel-guide/attraction/nagpur/poet-kalidas-memorial-62041427/,['']
Junnar Caves,Caves,Junnar is a city in the Pune district of the Indian state of Maharashtra The city has history dating back to the first millennium The nearby fort of Shivneri was the birthplace of Maratha king Chhatrapati Shivaji Maharaj the founder of the Maratha Empire Junnar was declared the first tourism taluka in Pune district by the government of Maharashtra on 9 January 2018,Pune,1.0,,,https://us.trip.com/travel-guide/attraction/pune/junnar-caves-70366824/,['']
Shree Datta Mandir Temple,Temples,The Shri Datta Venkata Sai Temple in Kalloor India is a replica of the Shirdi Sai Baba temple built by Prabhakar Maharaj,Nashik,1.0,,,https://us.trip.com/travel-guide/attraction/nashik/shree-datta-mandir-temple-23487758/,['']
Redi Beach,Beaches,A gorgeous quiet beach in Maharasta easily accessible as a day trip from North Goa Usually very quiet and magical local fishermen come out here in there boats and the bay is lovely for swimming in while the truly incredible Redi Fort sits on the hill,Sindhudurg,1.0,,,https://us.trip.com/travel-guide/attraction/sindhudurg/redi-beach-50630953/,['']
Madangad Mountain,Mountains,Madangad is a fort in the Nashik region of Maharashtra India in the Kalsubai range On the fort there are a cave and 2 water cisterns There are no manmade structures building remnants over the fort Alang Kalasubai Aundha Fort Patta and Bitangad are to the east of the fort Harihar Trymbakgad and Anjaneri to its north Harishchandragad Aajobagad Khutta pinnacle Ratangad and Katrabai to its south and Kulang to the west,Igatpuri,1.0,,,https://us.trip.com/travel-guide/attraction/igatpuri/madangad-mountain-50634987/,['']
Panchbol Point (CAPTAIN ROBINSON POINT DISCOVER ),Observation Decks,The Panchbol Point is a scenic point 4 km away from Bir Lake based in the region of Chikhaldara It provides with a panoramic view of the surroundings On one side the coffee plantations can be viewed On the other side there are close to five hills that come together to form a huge valley in the middle which can be observed from this point The Panchbol Point has derived its name from the belief that if you shout out anything you can hear the echo back not once but five distinct times Hence the name Panchbol  which means Five Echoes,Aladoh,1.0,,,https://us.trip.com/travel-guide/attraction/aladoh/panchbol-point-50638294/,['']
Zilpi Lake,Lakes,If you are looking for a day out from the rising heat and monotonous daily routine in Nagpur city Zilpi Lake is an excellent idea Located near Mohagaon village on Hingna Road at a distance of about 25 kms from the city centre this small and beautiful lake is surrounded by lushgreen landscapes from all sides An excellent picturesque picnic spot Zilpi Lake atmosphere is placid and pleasant and still commercially undevelopedThe journey which brings you here is itself quite pleasing especially the final ten kilometers when you move through forests and farmlands So near yet so far away from the urban crowds biking to Zilpi Lake is also an excellent idea The beautiful teak forests offer a perfect locale to a photography enthusiast while nature lovers will get to see plenty of birds including many rare species,Nagpur,1.0,,,https://us.trip.com/travel-guide/attraction/nagpur/zilpi-lake-56042731/,['']
Jalaram Temple,Other Places of Worship,Jalaram Temple is a popular Hindu temple located in the city of Pune in the western Indian state of Maharashtra The temple is dedicated to the revered saint Shri Jalaram Bapa who was a 19thcentury spiritual leader known for his philanthropic work and devotion to Lord RamaThe temple complex is spread over a large area and is known for its beautiful architecture and intricate carvings It features a main shrine dedicated to Shri Jalaram Bapa as well as several other smaller shrines dedicated to other deities The temple also has a large hall for congregational prayers and gatherings as well as a spacious courtyardDevotees visit the temple to offer their prayers and seek the blessings of Shri Jalaram Bapa The temple also serves as a community center for the local Gujarati community with regular cultural events and celebrations taking place throughout the yearThe temple is located in the PimpriChinchwad area of Pune and is easily accessible by public transportation It is open daily to visitors and during festivals and special occasions the temple attracts large crowds of devotees from all over the region Overall Jalaram Temple is a peaceful and serene place of worship and a mustvisit destination for those seeking spiritual solace in Pune,Pune,1.0,,,https://us.trip.com/travel-guide/attraction/pune/jalaram-temple-58276912/,['']
Gangadwar,Other Places of Worship,Gangadwar is a holy site located in the city of Nashik in the western Indian state of Maharashtra The site is situated on the banks of the Godavari River which is considered to be one of the holiest rivers in IndiaGangadwar is a popular spot for pilgrims and tourists alike who visit the site to take a dip in the holy waters of the Godavari River The area around the site is known for its natural beauty with lush green forests and hills surrounding the riverAccording to Hindu mythology Lord Rama the hero of the epic Ramayana spent some time at Gangadwar during his exile in the forest The site is also associated with several other Hindu legends and storiesThe site is easily accessible by road and is located about 30 kilometers from the city center of Nashik The area around Gangadwar has several facilities for visitors including changing rooms bathrooms and restaurants serving vegetarian foodGangadwar is particularly famous for the Kumbh Mela a Hindu festival that takes place every 12 years in which millions of pilgrims come to the site to bathe in the holy waters of the Godavari River Overall Gangadwar is a peaceful and serene place of worship and a mustvisit destination for those seeking spiritual solace in Nashik,Nashik,1.0,,,https://us.trip.com/travel-guide/attraction/nashik/gangadwar-58287584/,['']
Gawilgad Fort,Historical Sites,Gawilgad Fort is a historic hill fort located in the Chikhaldara district of the Indian state of Maharashtra The fort is situated at an altitude of about 1170 meters above sea level and is surrounded by the beautiful Satpura mountain rangeThe fort has a long and rich history having been built during the 12th century by the Gawilgarh dynasty It served as an important military stronghold for several centuries with the Maratha rulers later using it as a base for their military campaignsToday Gawilgad Fort is a popular tourist destination known for its stunning views of the surrounding landscape and its impressive architecture The fort features several impressive structures including a large entrance gate several watchtowers and a palace The fort is also home to several ancient temples including the Goddess Amba Temple and the Lord Shiva TempleVisitors to Gawilgad Fort can enjoy trekking through the surrounding forests and hills as well as exploring the forts many historical structures and temples The fort is easily accessible by road and visitors can hire guides to learn more about the history and significance of this impressive siteOverall Gawilgad Fort is a mustvisit destination for those interested in history architecture and the natural beauty of the Chikhaldara region of Maharashtra,Hirdamal,1.0,,,https://us.trip.com/travel-guide/attraction/hirdamal/gawilgad-fort-58287601/,['']
Shree Krishna Mandir,Temples,Shree Krishna Mandir is a popular Hindu temple dedicated to Lord Krishna located in the city of Pune in the western Indian state of Maharashtra The temple is one of the most revered and visited temples in Pune and is known for its beautiful architecture intricate carvings and spiritual significanceThe temple features a main shrine dedicated to Lord Krishna as well as several smaller shrines dedicated to other deities including Radha Lord Hanuman and Lord Ganesha The temple also has a spacious courtyard where devotees can sit and meditate as well as a large hall for congregational prayers and gatheringsThe temples architecture is a fusion of both traditional and modern styles with intricate carvings and beautiful murals adorning the walls and ceilings The temple is particularly famous for its goldplated dome and the impressive spire which rises high above the templeShree Krishna Mandir is open daily to visitors and during festivals and special occasions the temple attracts large crowds of devotees from all over the region The temples main festival is Janmashtami which celebrates the birth of Lord Krishna and is celebrated with great enthusiasm and fervorThe temple is easily accessible by road and is located in the Rasta Peth area of Pune It is a peaceful and serene place of worship and a mustvisit destination for those seeking spiritual solace in Pune,Pune,1.0,,,https://us.trip.com/travel-guide/attraction/pune/shree-krishna-mandir-23485937/,['']
Vishram Bagh Waada Palace,Castles,Vishram Bagh Waada Palace is a historic palace located in the heart of Pune city in Maharashtra India The palace was built during the 18th century by the Peshwa rulers and is known for its architectural grandeur exquisite design and rich cultural significanceThe palace features a grand entrance gate several courtyards and a large central hall that was used for royal ceremonies and gatherings The palace is also home to several smaller rooms which were used as living quarters by the royal family and their attendantsVishram Bagh Waada Palace is particularly famous for its ornate wooden balconies intricate carvings and beautiful frescoes that adorn the walls and ceilings The palace also has a beautiful garden which was designed by the Peshwa rulers to provide a peaceful retreat for themselves and their guestsToday Vishram Bagh Waada Palace is open to the public and serves as a museum showcasing the rich cultural heritage of Pune and the Peshwa rulers The museum features several exhibits including rare artifacts paintings and sculptures that provide a glimpse into the royal lifestyle of the Peshwa rulersThe palace is easily accessible by road and is located in the heart of Pune city making it a popular tourist destination for those interested in history architecture and culture Overall Vishram Bagh Waada Palace is a mustvisit destination for anyone interested in exploring the rich history and cultural heritage of Pune,Pune,1.0,,,https://us.trip.com/travel-guide/attraction/pune/vishram-bagh-waada-palace-23485946/,['']
Uran Beach,Beaches,Uran Beach is a scenic coastal area located in the Raigad district of Maharashtra India The beach is known for its serene and tranquil atmosphere pristine waters and breathtaking views of the Arabian SeaThe beach is located at a distance of about 50 km from Mumbai and is easily accessible by road The beach stretches for about 3 km and is lined with palm trees making it a popular destination for picnics and beach holidaysUran Beach is also a great spot for water sports including swimming boating and jet skiing The beach is also known for its delicious seafood which is served at the many shacks and restaurants located along the beachIn addition to the beach the area around Uran is also known for its historical significance with several ancient temples and monuments located nearby One such landmark is the Uran Fort a historic fort built during the 17th century by the PortugueseOverall Uran Beach is a great place to escape the hustle and bustle of city life and spend a relaxing day by the sea The serene and tranquil atmosphere of the beach coupled with the scenic views of the Arabian Sea make it a popular destination for both locals and tourists alike,Mumbai,1.0,,,https://us.trip.com/travel-guide/attraction/mumbai/uran-beach-50564871/,['']
Devi Point,Observation Decks,The Devi Point is one such area on the Chikaldhara slope station Around 86 kilo meters from the Amravati town Devi Point is the place from where waterway Chandrabhaga starts and streams in the midst of the rough ranges The fact of the matter is relatively close to the slope top from where the whole woodland locale of the Melghat Sanctuary is noticeable The all encompassing perspective offered from the highest point of the slope is the picture takers heaven For the recreation guest nearly the whole day can be spent simply sitting in the hypnotizing isolation of the nature,Aladoh,1.0,,,https://us.trip.com/travel-guide/attraction/aladoh/devi-point-50625807/,['']
Karoli Ghat,Lakes,This trek starts from the village of Samrud From there it goes down into the Sandhan Valley Leaving the valley and taking a detour to the right one moves to Kokankada and the inverted waterfall A moderate to difficult trek that offers stunning views of Konkan Kada by Harish Chandragad and that is one of the reasons why it is so loved by trekkers The Karoli Ghar Trail makes hikers very curious about the history of the place The entire trail has much to offer to its visitors Considered the land of the mysterious valley and waterfalls it happens to be the most scenic monsoon hike The trail features lush jungle and many streams and waterfalls The always flowing water and the environment have a healing effect,Nashik,1.0,,,https://us.trip.com/travel-guide/attraction/nashik/karoli-ghat-56037059/,['']
Rajgad Waterpark,Water Parks,Rajgad Water Park is located in Kapurhol 32kms away from Pune Maintaining its unparalleled location near Rajgad Fort the Property is surrounded by mindblowing landscape enchanting green hills overlooking Bhatghar Dam away from the hustle and bustle of the city,Pune,1.0,,,https://us.trip.com/travel-guide/attraction/pune/rajgad-waterpark-56068028/,['']
Bhandar Dongar,Mountains,Charming you with its dense vegetation and plush surroundings Bhandar Dongar is a hilltop that will leave you all hearts Wondering still about what all will keep you entertained at this highly majestic place Then know that it attracts people to go for a hike up the hill as well as paraglidingAmidst all the tourist places in Kamshet Bhandara Dongar is a hilltop that will never fail to enchant your souls Located near this hilly spot is a divine temple Sant Tukaram whose ancient and rustic presence adds up a heavenly bliss to this place,Pune,1.0,,,https://us.trip.com/travel-guide/attraction/pune/bhandar-dongar-58286653/,['']
Kondeshwar Temple,Other Places of Worship,Kondeshwar is a beautiful water fall along with a pond There is a temple of Lord Shiva and hence the name Kondeshwar Kondeshwar is remotely located away from noise and urban pollution with the nearest village located about 2025 minutes by walk Though Kondeshwar is a very beautiful place to be in a monsoon period there have been many accidents and fatalities due to unsafe swimming practices by people who have very less knowledge of the crevices under the water Many people have died due to the turbulence of the waterfall and they were taken inside the crevices from where it is very difficult to come out due to the heavy force of water,Thane,1.0,,,https://us.trip.com/travel-guide/attraction/thane/kondeshwar-temple-58295000/,['']
Sawatsada Waterfall,Waterfalls,At a distance of 4 km from Chiplun Bus Station and 4 km from Parshuram Temple Sawatsada Fall is a seasonal waterfall situated near the town of Chiplun in the Ratnagiri district of Maharashtra India It is one of the monsoon tourist places in ChiplunThe Ratnagiri region of Maharashtra has many hidden gems that are just a delight to explore From a beautiful coastline to dense forests its natural and wild beauty captures the heart and is a visual delight Sawatsada Waterfall is one of the lesserknown places to visit here and is a natural wonder worth a visit as part of Chiplun tour One can watch this huge waterfall from the MumbaiChiplun road So in case if you are pressed for time you can just make a quick stop here and take a few photosEmerges from the Sawatsada cliff Sawatsada is a seasonal waterfall that can only be seen in its full glory during the rainy season Due to its unique beauty and white appearance it is always a delight for photographers and nature enthusiasts alike In the rainy season the fall of water is strong and one needs to be careful near this waterfall as it could turn out to be dangerous An approach way leads one to this waterfall where a shed has been erected for tourists to stand and enjoy the view of the Sawatsada waterfall,Ratnagiri,1.0,,,https://us.trip.com/travel-guide/attraction/ratnagiri/sawatsada-waterfall-62008023/,['']
Waki Woods,Famous Residences,WAKIWOODS CANAL ROADVILLAGE WAKI TAH PARSEONI DISTT Nagpur  A creation of Spinner Resorts Private Ltd the Waki wood is an exquisite picnic spot just 30 km away from Nagpur to Saoner Road This private location is enriched by the natures beauty of a shallow and safe flowing Kolar river a hillock and mini lake The wide exhales of the land which is bordered by a canal on one and river on another Its tree and its serene ambiance acquires altoghter new different appearance every season of the year and accord different moods to a visitor and different activities for picnickers Delicious food is available at reasonable rates at Waki Woods Dhaba,Nagpur,1.0,,,https://us.trip.com/travel-guide/attraction/nagpur/waki-woods-62040458/,['']
Pachamukha Vishnu Ganapathi Temple,Other Places of Worship,The name itself saying that the Lord Vishnu is in the form of Ganapathi or Vinayaka with panch Mukha five heads The temple is located in Kankuri village 25 kilometers from Shirdi MaharashtraMr Bejan Daruwalla a famous astrologer and staunch devotee and believer of Lord Ganesha installed a 75 feet height Panchamukhi Vishnu Ganesh idol in new temple on June 13th 2002 at 12 PM with step by step holy chants by punditsAn idol of the mousethe vehicle or Vahan of Lord Ganesha is placed in front of the Ganesh idol in the temple It is believed that the devotees need to whisper hisher wish in the ear of the mouse but not disclose it to anybody and the wish would be fulfilled by the Lord Ganesha Men used to whisper in the right ear and women in the left ear of the mouseThis Ganpati is in the form of Vishnu which has Shankum or Conch in left hand and Chakra in the right hand with Goddess Laxmi sitting on the hand These are 3 attributes of lord Vishnu Lord Ganesha is sitting in the posture of aadishesh That is the reason the temple is named as Panchmukhi GanpatiThe five attributes of Panchmukhi are Fire water air earth and sky  This avatar is a special avatar after the end of kaliyug,Ahmednagar,1.0,,,https://us.trip.com/travel-guide/attraction/ahmednagar/pachamukha-vishnu-ganapathi-temple-62043123/,['']
Tamastirth Beach,Beaches,This is a rocky and gravelly beach in Dapoli that stands out among all the sandy shores A quaint and less crowded beach you can explore the beauty of Tamastirth and its aesthetics Couples and lovers would especially like the surroundings making it one of the top romantic placesOne of the highlights of this beach is the red hue in the seawater which is a reaction of its salient properties Here you can take walks set a camp or a picnic and enjoy the sunsets,Ratnagiri,1.0,,,https://us.trip.com/travel-guide/attraction/ratnagiri/tamastirth-beach-62053901/,['']
Sateri Devi Jal Mandir,Modern Architecture,Situated in the quaint town of Malvan is the popular shrine of Sateri Devi Jal Mandir which is devoted to Goddess Sateri The temple is surrounded by lush greenery and also has a manmade lake situated in its close proximity the serene ambience along with religious vibes makes this place a mustvisit for those seeking spiritual connectivity Sateri Devi Jal Mandir is dedicated to Goddess Sateri The beautiful surroundings with dense forestation is a treat to the eyes The temple has an artificial water body all around the shrine which adds to the tranquillity of the attraction It is therefore also known as Jal Mandir,Malvan,1.0,,,https://us.trip.com/travel-guide/attraction/malvan/sateri-devi-jal-mandir-62056576/,['']
Sudhagadh Fort,Historical Architectures,Sudhagad is one of the ancient forts in Sahyadri It was the glory of Bhor state Initially Sudhagad was called as Bhorapgad During empire of Shivaji Maharaj this fort was named as SudhagadSudhagad  Bhorapgad is a hill fort situated in Maharashtra India It lies about 53 kilometres 33 mi west of Pune 26 kilometres 16 mi south of Lonavla and 11 kilometres 68 mi east of Pali in Raigad District The summit is 620 metres 2030 ft above sea level1 Recently the entire area around the fort is declared as Sudhagad Wildlife SanctuarySudhagad is a huge fort It is called as the replica of Raigad Sudhagad trek is a short and sweet weekend gateway for trekkers from Mumbai and Pune The fort is almost equidistant from both the cities One can see the peaks of Sarasgad Tail Baila and Ghangad from the top There are 2 huge lakes at the top where one can take a dip and build a camp for a nights stay Apart from that you can also visit Bhorai Devi temple and Pant Sachivancha Vada,Lonavla,1.0,,,https://us.trip.com/travel-guide/attraction/lonavla/sudhagadh-fort-39704385/,['']
Khavane Beach,Other Places of Worship,Khavane beach is a natural beach with clean blue water It is surrounded by hilly area The graceful combination of sea phase  glorious coconut trees is special   attraction of this place But being a bit apart from the town this beach has still remained neglected This place is best for the people who need solitude  relaxation for mind Khavane Paradise is located on tranquil back waters surrounded by green mangroves and coconut trees Barely a walk of 200 steps and one can access the natural Khavane Beach with clean blue water surrounded by hilly regionNothing spoils the peace of this quiet backwater Paradise which truly lives upto its name Modern facilities with clean rooms in this quaint village are a must destress You can only hear the chirping of birds and splashing wavesParabs are a joint family with 28 members living together The Parabs have been on the forefront for helping the villagers and are dedicated to the cause Naturally they have excellent social standing Still carrying on with their traditional occupation of farming they own Mango cashew and coconut plantations,Sindhudurg,1.0,,,https://us.trip.com/travel-guide/attraction/sindhudurg/khavane-beach-50621527/,['']
Omkareshwar Mandir (pune),Temples,Pune is brimming with glorious ancient temples at every nook and corner and while we have visited most of them we might not be well about the mystic history that it conceals Well today we are here to spill the beans about a popular Shiv Temple in Pune thy name is Omkareshwar temple Situated in the heart of Pune in Shaniwar Peth the 17th century Omkareshwar Temple is a synonym of the rich Maratha culture and heritage The temple was built by Chimaji Appa a commander of the Maratha Empire and Peshwa Bajirao between 1740 to 1760 on the banks of Mutha river Other than being a shire to Lord Shiva the temple also has the samadhi of Chimaji Appa which makes this sacred space even more alluring for the visitors It is also believed that Annapurna Chimaji Appas wife had committed Sati in this very premises after his death in 1741 Other than having a religious importance amongst the city folks the temple also holds immense significance in the Indian Freedom Movement It is said that revolutionaries like Lokmanya Tilak and Veer Savarkar used this temple as a Taalim and burnt the British goods in its premises to show their discord towards the British supremacy Not only this the revolutionaries also used to hold meetings to strategies about their next move Even today the temple has a huge following and has devotees coming from all around the country to bow their head Perhaps what has kept the faith in the deity and the temple alive is the fact that in spite of being situated next to a river the temple survived the horrific floods of 1961 The temple has a spectacular architecture and boasts of Maratha designs which includes Nagara style Shikhara engraved with deities like Ganesh Dattaguru Vyas and others The spacious verandah and ornamented columns add to the grandeur of the place The columns here are in different shapes of  circles polygons squares and have intricate carvings on them The shivling is situated in the Garbhagriha which has a different calming energy to it that helps in reconnecting with your spiritual side Other than the shivling the temple also houses small temples of Goddess Durga Lord Vishnu Lord Shani and Lord Hanuman as well,Nandurbar,1.0,,,https://us.trip.com/travel-guide/attraction/nandurbar/omkareshwar-mandir-56035765/,['']
Ramakrishna Math and Ramakrishna Mission,Temples,Ramakrishna Math is the administrative legal organization of the Ramakrishna Order1 considered part of the Hindu reform movements It was set up by sanyasin disciples of Ramakrishna Paramhansa headed by Swami Vivekananda at Baranagar Math in Baranagar a place near Calcutta now Kolkata in 1886 India The headquarters of Ramakrishna Math and its twin organisation Ramakrishna Mission is at Belur Math in West Bengal IndiaAlthough Ramakrishna Math and Ramakrishna Mission are legally and financially separate they are closely interrelated in several other ways and are to be regarded as twin organizations All branch centres of Ramakrishna Math come under the administrative control of the Board of Trustees whereas all branch centres of Ramakrishna Mission come under the administrative control of the Governing Body of Ramakrishna Mission2  Ramakrishna Mission is a Hindu religious and spiritual organisation which forms the core of a worldwide spiritual movement known as the Ramakrishna Movement or the Vedanta Movement,Mumbai,1.0,,,https://us.trip.com/travel-guide/attraction/mumbai/ramakrishna-math-and-ramakrishna-mission-58319712/,['']
Ramshej Fort,Historical Architectures,Ramshej Fort a hill fort in Dindori about 12 km from Nasik is located at an altitude of 3273 feet above sea level on the Peth mountain range along the NashikVapi road Ashewadi the town at the base is 8 km away from Nashik 1It is believed that during his exile Lord Rama had made this spot his dwelling place for a while The construction of the Fort has been traced to between the ninth and eleventh centuries The main purpose of the Fort was the collection of taxes on the way to Khandesh in north western Maharashtra and Gujarat The Fort gains its importance because of its location as it marks the route dispatching from and arriving to NashikThe perfectly vertical wall of rock along the periphery of the fort makes it extremely secure A small temple the Ramlalla temple dedicated to Lord Rama is seen near the rockcut entrance gate located at the East side of the fort The remains of the outermost structural wall is still visible A remarkable feature of the Fort is the architecture of its water management system which consists of a cistern located beside the temple and a reservoir on the top of the fort A small cistern 2m3m15m is seen on the way towards the top The location of the reservoir and the cistern are on the same vertical line Even today the cistern retains a good amount of water in summers which it derives from the contact springs of the rocks and is believed to have had an ample supply in the early nineteenth century The water percolating into the cistern from the rocks can still be observed,Ramshej,1.0,,,https://us.trip.com/travel-guide/attraction/ramshej/ramshej-fort-58335072/,['']
Triose Multiplex,Theaters,Triose Multiplex is a multiplex cinema located in the city of Pune Maharashtra India It is located in the Inorbit Mall on the Nagar Road The multiplex has multiple screens with stateoftheart technology and offers a range of movie viewing experiences including 2D and 3D movies The multiplex also has comfortable seating arrangements food and beverage stalls and other amenities to ensure a great movie watching experience for the visitors,Pune,1.0,,,https://us.trip.com/travel-guide/attraction/pune/triose-multiplex-61134786/,['']
"Eros Cinema, Mumbai",Theaters,Eros Cinema is a historic movie theatre located in the heart of Mumbai India Established in 1938 it is one of the oldest and most iconic cinemas in the city Eros Cinema has played a significant role in the Indian film industry and has been the venue for many important movie premieres and events The cinema boasts a grand Art Decostyle architecture and features a single screen auditorium that can seat up to 1200 people The auditorium is equipped with stateoftheart projection and sound systems providing an immersive cinematic experience for moviegoers In addition to showing the latest Bollywood releases Eros Cinema also hosts film festivals and special screenings of classic and foreign films The theatre has been a cultural landmark in Mumbai for over 80 years and continues to be a popular destination for film enthusiasts and tourists alike,Mumbai,1.0,,,https://us.trip.com/travel-guide/attraction/mumbai/eros-cinema-mumbai-61221227/,['']
Suvarnadurg Fort,Historical Architectures,Suvarnadurg Fort is a historic fortress located near Harnai Beach in the Ratnagiri district of Maharashtra India The fort was built by the Maratha ruler Shivaji Maharaj in the 17th century to protect the coastal region from enemy attacks Suvarnadurg Fort is built on a small island off the coast and is surrounded by the Arabian Sea on all sides giving it a unique and picturesque location The fort is accessible by boat and visitors can explore the ruins of the fort which includes the ramparts bastions gateways and several temples within the fort The fort also houses a lighthouse that provides a panoramic view of the surrounding area Suvarnadurg Fort is a popular tourist attraction and is a mustvisit for history buffs and nature lovers alike The fort offers a glimpse into the rich cultural heritage of Maharashtra and its strategic importance in the pastThe island of Suvarnadurg fort stands close to Harne in Ratnagiri Distric a natural harbour famous for fishing and its marketing  A very strong fort its walls are cut out of solid rock and the ramparts are raised by using huge square blocks  No mortar was used in the walls  The fort has many bastions and a postern gated on the western side  The hidden main gate opens towards the east  It has on its threshold a carved figure of a tortoise and on the side wall that of Maruti Hanuman  Inside the fort there were several buildings water tanks and a place for ordinance  All the buildings are now in ruins,Ratnagiri,1.0,,,https://us.trip.com/travel-guide/attraction/ratnagiri/suvarnadurg-fort-61766400/,['']
Achra Beach,Beaches,Achra Beach is a pristine beach located in the town of Malvan in the Sindhudurg district of Maharashtra India The beach is known for its picturesque beauty clear blue waters and pristine white sands The beach is surrounded by coconut and palm trees which add to its charm and beautyAchra Beach is a popular destination for tourists looking to relax and unwind in a serene and peaceful environment Visitors can take long walks along the beach swim in the clear waters or simply sit back and soak in the beauty of the surroundings The beach is also an ideal spot for picnics and barbeques with many vendors selling local snacks and refreshmentsOne of the main attractions of Achra Beach is the stunning sunset view Visitors can witness the sun setting behind the horizon painting the sky with hues of orange pink and purple creating a mesmerizing spectacleAchra Beach is also located close to several other tourist attractions in Malvan including the famous Sindhudurg Fort and Tarkarli Beach making it a popular stop for visitors exploring the region Overall Achra Beach is a mustvisit destination for anyone looking to enjoy the natural beauty of the Konkan coast,Malvan,1.0,,,https://us.trip.com/travel-guide/attraction/malvan/achra-beach-62037707/,['']
Shri Bahubali Bramhcharya,Other Places of Worship,Kolhapur district of Maharashtra India The main attraction of this site is the magnificent 28feet tall statue of Bahubali which is considered one of the tallest Jain statues in the worldThe statue was built in 1980 and took 12 years to complete It was carved out of a single rock and is believed to be a representation of Lord Bahubali a revered Jain deity known for his meditation and selfcontrol The statue is located on top of a hill and can be reached by climbing a series of stairs offering visitors a stunning view of the surrounding landscapeApart from the statue the site also features several other Jain temples and shrines including the Parshwanath Temple Shantinath Temple and Padmavati Temple Visitors can participate in a range of religious activities such as meditation prayers and offerings The temple complex also hosts several festivals and celebrations throughout the year including Mahavir Jayanti Paryushan and DiwaliOverall Shri Bahubali Bramhacharya Nej is a mustvisit destination for anyone interested in Jainism or looking for a peaceful and spiritual retreat in Maharashtra The site is easily accessible by road and is located approximately 40 km from Kolhapur city,Nej Gaon,1.0,,,https://us.trip.com/travel-guide/attraction/nej-gaon/shri-bahubali-bramhcharya-62045329/,['']
Mount Carmel Church,Churches and Cathedrals,Mount Carmel Church is a Catholic church located in the Bandra West neighborhood of Mumbai India The church is one of the oldest and most popular Catholic churches in Mumbai and is known for its beautiful architecture and religious significanceThe church was established in 1894 and is dedicated to Our Lady of Mount Carmel The churchs Gothicstyle architecture stained glass windows and ornate altar make it a stunning example of colonialera architecture Visitors can admire the intricate details of the churchs interior which includes beautiful frescoes statues and carvingsMount Carmel Church is also an important pilgrimage site for Catholics in Mumbai The church hosts daily masses and is especially crowded during the annual feast of Our Lady of Mount Carmel which takes place in July The feast is celebrated with a colorful procession and a fair which attracts thousands of devotees and visitors from across the cityThe church is located in a bustling neighborhood that is wellconnected to other tourist attractions in Mumbai Visitors can combine a visit to Mount Carmel Church with a trip to nearby attractions such as Bandstand Promenade Bandra Fort and Carter RoadOverall Mount Carmel Church is a mustvisit destination for anyone interested in colonialera architecture religious history or seeking a peaceful and spiritual experience in Mumbai,Mumbai,1.0,,,https://us.trip.com/travel-guide/attraction/mumbai/mount-carmel-church-23033175/,['']
WaghVille,Theme Parks,WaghVille is a nature retreat located near Nagpur in the state of Maharashtra India The retreat is situated in the midst of lush green forests and is known for its serene and picturesque beauty WaghVille offers a perfect escape for nature lovers and anyone looking for a peaceful and relaxing break from the hustle and bustle of city lifeThe retreat is spread over 10 acres of land and offers a variety of accommodation options ranging from luxurious cottages to rustic tents Visitors can choose to stay in treehouses cabins or tents that are wellequipped with modern amenities such as air conditioning comfortable bedding and private bathroomsThe natural surroundings of WaghVille offer ample opportunities for outdoor activities such as hiking trekking bird watching and camping The retreat also offers guided nature walks where visitors can explore the nearby forests and spot exotic wildlife such as leopards tigers and sloth bearsWaghVille is also home to a natural waterfall where visitors can take a dip in the refreshing water or simply enjoy the scenic beauty The retreat also features a swimming pool a spa and a yoga center where visitors can indulge in relaxation and wellness activitiesThe retreats location near Nagpur also makes it an ideal base for exploring nearby tourist attractions such as the Pench National Park TadobaAndhari Tiger Reserve and the Nagzira Wildlife SanctuaryOverall WaghVille is a perfect destination for anyone looking for a peaceful and rejuvenating break amidst nature The retreats scenic beauty comfortable accommodation and range of outdoor activities make it an ideal getaway for families couples and solo travelers alike,Nagpur,1.0,,,https://us.trip.com/travel-guide/attraction/nagpur/waghville-55834180/,['']
